Fecha;Hora;Clase de Vuelo;Clasificación Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave
1/1/2020;0;Regular                             ;Internacional;Despegue  ;SAEZ;LEMD;Aerolíneas Argentinas         ;AIRBUS A-340   
1/1/2020;0;Regular                             ;Internacional;Aterrizaje;MPTO;SAAR;Copa Airlines                 ;BOEING B-737   
1/1/2020;0;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;Gol Transportes Aéreos        ;BOEING B-737   
1/1/2020;0;Regular                             ;Internacional;Despegue  ;SAEZ;MMMX;Aeroméxico                    ;BOEING B-787   
1/1/2020;0;Regular                             ;Internacional;Despegue  ;SAEZ;KMIA;Aerolíneas Argentinas         ;AIRBUS A-330   
1/1/2020;0;Regular                             ;Internacional;Despegue  ;SAEZ;SKBO;Avianca                       ;AIRBUS A-320   
1/1/2020;0;Regular                             ;Internacional;Despegue  ;SAEZ;KMCO;Aerolíneas Argentinas         ;AIRBUS A-330   
1/1/2020;0;Regular                             ;Internacional;Aterrizaje;SBGL;SAEZ;Gol Transportes Aéreos        ;BOEING B-737   
1/1/2020;0;Regular                             ;Internacional;Aterrizaje;MPTO;SAEZ;Copa Airlines                 ;BOEING B-737   
1/1/2020;1;Regular                             ;Cabotaje     ;Aterrizaje;SARI;SABE;Norwegian Air Argentina       ;BOEING B-737   
1/1/2020;1;Regular                             ;Internacional;Despegue  ;SAEZ;MPTO;Copa Airlines                 ;BOEING B-737   
1/1/2020;1;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAWG;LATAM Argentina               ;AIRBUS A-320   
1/1/2020;1;Regular                             ;Internacional;Despegue  ;SAAR;MPTO;Copa Airlines                 ;BOEING B-737   
1/1/2020;1;Regular                             ;Internacional;Aterrizaje;SBGL;SACO;Gol Transportes Aéreos        ;BOEING B-737   
1/1/2020;2;Regular                             ;Internacional;Despegue  ;SACO;MPTO;Copa Airlines                 ;BOEING B-737   
1/1/2020;2;Regular                             ;Cabotaje     ;Despegue  ;SAWG;SABE;LATAM Argentina               ;AIRBUS A-320   
1/1/2020;2;Regular                             ;Internacional;Despegue  ;SAEZ;SBGL;Gol Transportes Aéreos        ;BOEING B-737   
1/1/2020;2;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;Qatar Airways                 ;BOEING B-777   
1/1/2020;2;Regular                             ;Internacional;Aterrizaje;SLVR;SAEZ;Boliviana de Aviacion         ;BOEING B-737   
1/1/2020;3;Regular                             ;Internacional;Despegue  ;SACO;SBGL;Gol Transportes Aéreos        ;BOEING B-737   
1/1/2020;3;Regular                             ;Cabotaje     ;Despegue  ;SAEZ;SARE;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;3;Regular                             ;Internacional;Aterrizaje;SPJC;SAEZ;Avianca Perú                  ;AIRBUS A-330   
1/1/2020;3;Regular                             ;Internacional;Aterrizaje;SPJC;SASA;LATAM Perú                    ;AIRBUS A-320   
1/1/2020;3;Regular                             ;Internacional;Aterrizaje;KMIA;SAEZ;Aerolíneas Argentinas         ;AIRBUS A-330   
1/1/2020;4;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWH;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;4;Regular                             ;Internacional;Despegue  ;SAEZ;SPJC;TAM Linhas Aéreas             ;AIRBUS A-320   
1/1/2020;4;Regular                             ;Internacional;Aterrizaje;LEMD;SAEZ;Aerolíneas Argentinas         ;AIRBUS A-330   
1/1/2020;4;Regular                             ;Internacional;Despegue  ;SAEZ;SPJC;LATAM Argentina               ;AIRBUS A-320   
1/1/2020;4;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SARE;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;4;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWH;LATAM Argentina               ;AIRBUS A-320   
1/1/2020;4;Regular                             ;Internacional;Aterrizaje;LIRF;SAEZ;Aerolíneas Argentinas         ;AIRBUS A-330   
1/1/2020;4;Regular                             ;Internacional;Despegue  ;SAEZ;SBBR;Gol Transportes Aéreos        ;BOEING B-737   
1/1/2020;4;Regular                             ;Cabotaje     ;Aterrizaje;SAWG;SABE;LATAM Argentina               ;AIRBUS A-320   
1/1/2020;4;Regular                             ;Internacional;Despegue  ;SAEZ;SLVR;Boliviana de Aviacion         ;BOEING B-737   
1/1/2020;5;Regular                             ;Internacional;Despegue  ;SAEZ;MPTO;Copa Airlines                 ;BOEING B-737   
1/1/2020;5;Regular                             ;Internacional;Despegue  ;SAEZ;SEQM;Qatar Airways                 ;BOEING B-777   
1/1/2020;5;Regular                             ;Internacional;Despegue  ;SARE;MDPC;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;5;Regular                             ;Internacional;Despegue  ;SAEZ;SBSV;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;5;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWG;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;5;Regular                             ;Internacional;Aterrizaje;SKBO;SAEZ;Avianca                       ;AIRBUS A-330   
1/1/2020;5;Regular                             ;Internacional;Despegue  ;SAEZ;SBPS;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;5;Regular                             ;Cabotaje     ;Despegue  ;SABE;SASJ;Austral Líneas Aéreas         ;EMBRAER E-190  
1/1/2020;5;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWC;Aerolíneas Argentinas         ;BOEING B-737   
1/1/2020;5;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAME;Austral Líneas Aéreas         ;EMBRAER E-190  
1/1/2020;5;Regular                             ;Cabotaje     ;Despegue  ;SABE;SACO;LATAM Argentina               ;AIRBUS A-320   
1/1/2020;5;Regular                             ;Internacional;Despegue  ;SASA;SPJC;LATAM Perú                    ;AIRBUS A-320   
1/1/2020;5;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWE;Austral Líneas Aéreas         ;EMBRAER E-190  
